AA;город Киев
AB;Винницкая область
AC;Волынская область
AE;Днепропетровская область
AH;Донецкая область
AM;Житомирская облать
AO;Закарпатская область
AP;Запорожская область
AT;Ивано-Франковская область
AI;Киевская область
AK;АР Крым
BA;Кировоградская область
BB;Луганская область
BC;Львовская область
BE;Николаевская область
BH;Одесская область
BI;Полтавская область
BK;Ровенская область
BM;Сумская область
BO;Тернопольская область
AX;Харьковская область
BT;Херсонская область
BX;Хмельницкая область
CA;Черкасская область
CB;Черниговская область
CE;Черновицкая область
CH;город Севастополь
KA;город Киев
KB;Винницкая область
KC;Волынская область
KE;Днепропетровская область
KH;Донецкая область
KM;Житомирская облать
KO;Закарпатская область
KP;Запорожская область
KT;Ивано-Франковская область
KI;Киевская область
KK;АР Крым
HA;Кировоградская область
HB;Луганская область
HC;Львовская область
HE;Николаевская область
HH;Одесская область
HI;Полтавская область
HK;Ровенская область
HM;Сумская область
HO;Тернопольская область
KX;Харьковская область
HT;Херсонская область
HX;Хмельницкая область
IA;Черкасская область
IB;Черниговская область
IE;Черновицкая область
IH;город Севастополь
TT;город Киев
MM;Винницкая область
CM;Волынская область
PP;Днепропетровская область
TH;Донецкая область
TM;Житомирская облать
MT;Закарпатская область
TP;Запорожская область
TO;Ивано-Франковская область
TI;Киевская область
TK;АР Крым
XA;Кировоградская область
EE;Луганская область
CC;Львовская область
XE;Николаевская область
OO;Одесская область
XI;Полтавская область
XK;Ровенская область
XM;Сумская область
XO;Тернопольская область
XX;Харьковская область
XT;Херсонская область
OX;Хмельницкая область
OA;Черкасская область
OB;Черниговская область
OE;Черновицкая область
OH;город Севастополь
TA;город Киев
OK;Винницкая область
TC;Волынская область
MI;Днепропетровская область
MH;Донецкая область
MB;Житомирская облать
MO;Закарпатская область
MP;Запорожская область
XC;Ивано-Франковская область
ME;Киевская область
MK;АР Крым
EA;Кировоградская область
EB;Луганская область
EC;Львовская область
XH;Николаевская область
EH;Одесская область
EI;Полтавская область
EK;Ровенская область
EM;Сумская область
EO;Тернопольская область
EX;Харьковская область
ET;Херсонская область
PX;Хмельницкая область
PA;Черкасская область
PB;Черниговская область
PE;Черновицкая область
PH;город Севастополь
